top - 19:19:17 up 35 min,  2 users,  load average: 0,14, 0,74, 0,80
Tareas: 271 total,   1 ejecutar,  269 hibernar,    0 detener,    1 zombie
%Cpu(s):  4,0 us,  4,0 sy,  0,0 ni, 92,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :   3902,1 total,    152,8 libre,   2359,5 usado,   1773,9 búf/caché    
MiB Intercambio:      0,0 total,      0,0 libre,      0,0 usado.   1542,6 dispon

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
     97 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/37-+
     98 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    100 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    101 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    102 root       0 -20       0      0      0 I   0,0   0,0   0:00.56 kworker+
    107 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    109 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    110 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    111 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    112 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    113 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    120 root      20   0       0      0      0 I   0,0   0,0   0:00.28 kworker+
    166 root       0 -20       0      0      0 I   0,0   0,0   0:00.30 kworker+
    173 root      20   0       0      0      0 I   0,0   0,0   0:00.40 kworker+
    189 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
    235 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    237 root      20   0       0      0      0 I   0,0   0,0   0:00.23 kworker+
    241 root     -51   0       0      0      0 S   0,0   0,0   0:00.01 watchdo+
    242 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    243 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    244 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    245 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    246 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    247 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    248 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    249 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    250 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    251 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    252 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    253 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    254 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    284 root      20   0       0      0      0 S   0,0   0,0   0:00.29 jbd2/vd+
    285 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    300 root      20   0       0      0      0 S   0,0   0,0   0:00.00 hwrng
    303 root      20   0       0      0      0 I   0,0   0,0   0:00.40 kworker+
    318 root      20   0       0      0      0 I   0,0   0,0   0:00.29 kworker+
    333 root      20   0   51408  18324  16648 S   0,0   0,5   0:00.27 systemd+
    360 systemd+  20   0   92064   8336   7160 S   0,0   0,2   0:00.04 systemd+
    387 root      20   0   36812  11244   8048 S   0,0   0,3   0:00.10 systemd+
    398 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 psimon
    503 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    705 root      20   0  309392   7624   6676 S   0,0   0,2   0:00.05 account+
    706 avahi     20   0    6248   4280   3888 S   0,0   0,1   0:00.04 avahi-d+
    707 root      20   0    6796   2772   2504 S   0,0   0,1   0:00.01 cron
    709 message+  20   0   11372   8204   4236 S   0,0   0,2   0:00.59 dbus-da+
    716 root      -2   0  304332   5852   5352 S   0,0   0,1   0:00.01 low-mem+
    719 polkitd   20   0  383016  10708   7372 S   0,0   0,3   0:00.34 polkitd
    722 root      20   0   80896   4092   3784 S   0,0   0,1   0:00.00 qemu-ga
    723 root      20   0  307908   7016   6412 S   0,0   0,2   0:00.01 switche+
    730 root      20   0   19124   9608   8300 S   0,0   0,2   0:00.11 systemd+
    732 root      20   0  469968  14652  12192 S   0,0   0,4   0:00.11 udisksd
    762 avahi     20   0    6060   1580   1276 S   0,0   0,0   0:00.00 avahi-d+
    780 dhcpcd    20   0   10500   4380   3220 S   0,0   0,1   0:00.00 dhcpcd
    781 root      20   0   10508   2628   1536 S   0,0   0,1   0:00.00 dhcpcd
    782 dhcpcd    20   0   10484   2068   1064 S   0,0   0,1   0:00.00 dhcpcd
    783 dhcpcd    20   0   10484   2068   1064 S   0,0   0,1   0:00.00 dhcpcd
    790 root      20   0  336820  19704  16740 S   0,0   0,5   0:00.06 Network+
    791 root      -2   0       0      0      0 S   0,0   0,0   0:00.13 psimon
    792 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
    793 root      20   0   17516   6980   5980 S   0,0   0,2   0:00.02 wpa_sup+
    813 root      20   0  390912  12404  10472 S   0,0   0,3   0:00.04 ModemMa+
    830 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    850 dhcpcd    20   0   10508   2348   1256 S   0,0   0,1   0:00.00 dhcpcd
    852 dhcpcd    20   0   10508   2220   1128 S   0,0   0,1   0:00.00 dhcpcd
    869 dhcpcd    20   0   10508   2284   1192 S   0,0   0,1   0:00.00 dhcpcd
    886 root      20   0   17196   8216   6676 S   0,0   0,2   0:00.00 cupsd
    889 root      20   0    6084   4008   3656 S   0,0   0,1   0:00.28 tgtd
    897 root      20   0   11764   7916   6692 S   0,0   0,2   0:00.01 sshd
    901 root      20   0  192604  15956  13292 S   0,0   0,4   0:00.03 cups-br+
    904 root      20   0  310780   9204   8084 S   0,0   0,2   0:00.02 gdm3
    905 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    906 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    907 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    908 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    921 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    922 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    935 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 psimon
    977 rtkit     21   1   21468   3268   3024 S   0,0   0,1   0:00.06 rtkit-d+
   1057 colord    20   0  315992  14400   9720 S   0,0   0,4   0:00.09 colord
   1104 root      20   0  318788  10508   8712 S   0,0   0,3   0:00.04 upowerd
   1376 root      20   0    4776   2416   2188 S   0,0   0,1   0:00.00 agetty
   1377 root      20   0  309476   7368   6612 S   0,0   0,2   0:00.03 power-p+
   1475 root      20   0  387300  11792  10356 S   0,0   0,3   0:00.01 gdm-ses+
   1484 dani      20   0   23296  13760  10792 S   0,0   0,3   0:00.22 systemd
   1486 dani      20   0   24648   3856   2036 S   0,0   0,1   0:00.00 (sd-pam)
   1506 dani      20   0    9628   7080   4168 S   0,0   0,2   0:01.34 dbus-da+
   1508 dani       9 -11  104192  14408   8796 S   0,0   0,4   0:00.18 pipewire
   1509 dani      20   0   84688   5176   4556 S   0,0   0,1   0:00.00 pipewire
   1510 dani       9 -11  718240  26868  21260 S   0,0   0,7   0:00.23 wireplu+
   1511 dani       9 -11  176296  13484   8372 S   0,0   0,3   0:00.19 pipewir+
   1512 dani      20   0  183268  10340   9252 S   0,0   0,3   0:00.02 gnome-k+
   1513 dani      20   0    7224   3600   3328 S   0,0   0,1   0:00.01 mpris-p+
   1540 dani      20   0  168456   6404   5868 S   0,0   0,2   0:00.00 gdm-way+
   1545 dani      20   0  268600  15220  13436 S   0,0   0,4   0:00.02 gnome-s+
   1590 dani      20   0   97300   7064   6352 S   0,0   0,2   0:00.00 gcr-ssh+
   1592 dani      20   0   87208   5324   4892 S   0,0   0,1   0:00.00 gnome-s+
   1593 dani      20   0   10528   6524   5512 S   0,0   0,2   0:00.00 ssh-age+
   1605 dani      20   0  313052   8552   7580 S   0,0   0,2   0:00.01 gvfsd
   1614 dani      20   0  398480   7408   6600 S   0,0   0,2   0:00.00 gvfsd-f+
   1619 dani      20   0  556136  16584  14148 S   0,0   0,4   0:00.05 gnome-s+
   1648 dani      20   0  381120   7452   6744 S   0,0   0,2   0:00.00 at-spi-+
   1661 dani      20   0    8316   4848   4288 S   0,0   0,1   0:00.01 dbus-da+
   1688 dani      20   0  168796   7212   6516 S   0,0   0,2   0:00.01 at-spi2+
   1703 dani      20   0  309112   6940   6324 S   0,0   0,2   0:00.00 xdg-per+
   1705 dani      20   0  662592  23492  19444 S   0,0   0,6   0:00.03 gnome-s+
   1716 dani      20   0  826276  62952  46560 S   0,0   1,6   0:00.16 evoluti+
   1733 dani      20   0 2723236  29536  24320 S   0,0   0,7   0:00.04 gjs
   1736 dani      20   0  226192  65184  52576 S   0,0   1,6   0:00.05 Xwayland
   1744 dani      20   0  385892  11340   7280 S   0,0   0,3   0:00.69 ibus-da+
   1745 dani      20   0  242636   7056   6376 S   0,0   0,2   0:00.00 gsd-a11+
   1746 dani      20   0  408592  21100  18012 S   0,0   0,5   0:00.04 gsd-col+
   1747 dani      20   0  254028  10180   8992 S   0,0   0,3   0:00.00 gsd-dat+
   1751 dani      20   0  383632   8776   7748 S   0,0   0,2   0:00.08 gsd-hou+
   1773 dani      20   0  407344  20600  17652 S   0,0   0,5   0:00.03 gsd-key+
   1774 dani      20   0  574516  24240  20572 S   0,0   0,6   0:00.05 gsd-med+
   1778 dani      20   0  484268  22368  19068 S   0,0   0,6   0:00.05 gsd-pow+
   1779 dani      20   0  320520  11792  10252 S   0,0   0,3   0:00.01 gsd-pri+
