USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.3  23804 14640 ?        Ss   18:43   0:01 /sbin/init
root           2  0.0  0.0      0     0 ?        S    18:43   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    18:43   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-kvfree_rcu_reclaim]
root           5  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-rcu_gp]
root           6  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-sync_wq]
root           7  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/0:0H-events_highpri]
root          12  0.0  0.0      0     0 ?        I    18:43   0:00 [kworker/u16:0-ipv6_addrconf]
root          13  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        I    18:43   0:00 [rcu_tasks_kthread]
root          15  0.0  0.0      0     0 ?        I    18:43   0:00 [rcu_tasks_rude_kthread]
root          16  0.0  0.0      0     0 ?        I    18:43   0:00 [rcu_tasks_trace_kthread]
root          17  0.0  0.0      0     0 ?        S    18:43   0:00 [ksoftirqd/0]
root          18  0.0  0.0      0     0 ?        I    18:43   0:00 [rcu_preempt]
root          19  0.0  0.0      0     0 ?        S    18:43   0:00 [rcu_exp_par_gp_kthread_worker/0]
root          20  0.0  0.0      0     0 ?        S    18:43   0:00 [rcu_exp_gp_kthread_worker]
root          21  0.0  0.0      0     0 ?        S    18:43   0:00 [migration/0]
root          22  0.0  0.0      0     0 ?        S    18:43   0:00 [idle_inject/0]
root          23  0.0  0.0      0     0 ?        S    18:43   0:00 [cpuhp/0]
root          24  0.0  0.0      0     0 ?        S    18:43   0:00 [cpuhp/1]
root          25  0.0  0.0      0     0 ?        S    18:43   0:00 [idle_inject/1]
root          26  0.0  0.0      0     0 ?        S    18:43   0:00 [migration/1]
root          27  0.0  0.0      0     0 ?        S    18:43   0:00 [ksoftirqd/1]
root          28  0.0  0.0      0     0 ?        I    18:43   0:00 [kworker/1:0-events_power_efficient]
root          29  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/1:0H-events_highpri]
root          30  0.0  0.0      0     0 ?        S    18:43   0:00 [cpuhp/2]
root          31  0.0  0.0      0     0 ?        S    18:43   0:00 [idle_inject/2]
root          32  0.0  0.0      0     0 ?        S    18:43   0:00 [migration/2]
root          33  0.0  0.0      0     0 ?        S    18:43   0:00 [ksoftirqd/2]
root          35  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/2:0H-kblockd]
root          36  0.0  0.0      0     0 ?        S    18:43   0:00 [cpuhp/3]
root          37  0.0  0.0      0     0 ?        S    18:43   0:00 [idle_inject/3]
root          38  0.0  0.0      0     0 ?        S    18:43   0:00 [migration/3]
root          39  0.0  0.0      0     0 ?        S    18:43   0:00 [ksoftirqd/3]
root          41  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/3:0H-events_highpri]
root          42  0.1  0.0      0     0 ?        I    18:43   0:02 [kworker/u17:0-writeback]
root          43  0.0  0.0      0     0 ?        I    18:43   0:00 [kworker/u18:0-events_unbound]
root          44  0.0  0.0      0     0 ?        I    18:43   0:00 [kworker/u19:0-kvfree_rcu_reclaim]
root          49  0.0  0.0      0     0 ?        S    18:43   0:00 [kdevtmpfs]
root          50  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-inet_frag_wq]
root          51  0.0  0.0      0     0 ?        S    18:43   0:00 [kauditd]
root          52  0.0  0.0      0     0 ?        S    18:43   0:00 [khungtaskd]
root          53  0.0  0.0      0     0 ?        S    18:43   0:00 [oom_reaper]
root          56  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-writeback]
root          57  0.0  0.0      0     0 ?        S    18:43   0:01 [kcompactd0]
root          58  0.0  0.0      0     0 ?        SN   18:43   0:00 [ksmd]
root          59  0.0  0.0      0     0 ?        SN   18:43   0:00 [khugepaged]
root          60  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-kintegrityd]
root          61  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-kblockd]
root          62  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-blkcg_punt_bio]
root          63  0.0  0.0      0     0 ?        S    18:43   0:00 [irq/9-acpi]
root          65  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-tpm_dev_wq]
root          66  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-edac-poller]
root          67  0.0  0.0      0     0 ?        I    18:43   0:00 [kworker/u16:1-ipv6_addrconf]
root          68  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-devfreq_wq]
root          69  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-quota_events_unbound]
root          72  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/3:1H-kblockd]
root          73  0.4  0.0      0     0 ?        S    18:43   0:09 [kswapd0]
root          80  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-kthrotld]
root          84  0.0  0.0      0     0 ?        S    18:43   0:00 [irq/24-aerdrv]
root          85  0.0  0.0      0     0 ?        S    18:43   0:00 [irq/25-aerdrv]
root          86  0.0  0.0      0     0 ?        S    18:43   0:00 [irq/26-aerdrv]
root          87  0.0  0.0      0     0 ?        S    18:43   0:00 [irq/27-aerdrv]
root          88  0.0  0.0      0     0 ?        S    18:43   0:00 [irq/28-aerdrv]
root          89  0.0  0.0      0     0 ?        S    18:43   0:00 [irq/29-aerdrv]
root          90  0.0  0.0      0     0 ?        S    18:43   0:00 [irq/30-aerdrv]
root          91  0.0  0.0      0     0 ?        S    18:43   0:00 [irq/31-aerdrv]
root          92  0.0  0.0      0     0 ?        S    18:43   0:00 [irq/32-aerdrv]
root          93  0.0  0.0      0     0 ?        S    18:43   0:00 [irq/33-aerdrv]
root          94  0.0  0.0      0     0 ?        S    18:43   0:00 [irq/34-aerdrv]
root          95  0.0  0.0      0     0 ?        S    18:43   0:00 [irq/35-aerdrv]
root          96  0.0  0.0      0     0 ?        S    18:43   0:00 [irq/36-aerdrv]
root          97  0.0  0.0      0     0 ?        S    18:43   0:00 [irq/37-aerdrv]
root          98  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-acpi_thermal_pm]
root         100  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-mld]
root         101  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-ipv6_addrconf]
root         102  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/1:1H-kblockd]
root         107  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-kstrp]
root         109  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/u21:0]
root         110  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/u22:0]
root         111  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/u23:0]
root         112  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/u24:0]
root         113  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/u25:0]
root         120  0.0  0.0      0     0 ?        I    18:43   0:00 [kworker/u19:2-flush-254:0]
root         166  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/0:1H-kblockd]
root         173  0.0  0.0      0     0 ?        I    18:43   0:00 [kworker/u20:2-events_unbound]
root         189  0.0  0.0      0     0 ?        I    18:43   0:00 [kworker/u20:5-kvfree_rcu_reclaim]
root         235  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/2:1H]
root         237  0.0  0.0      0     0 ?        I    18:43   0:00 [kworker/2:2-mm_percpu_wq]
root         241  0.0  0.0      0     0 ?        S    18:43   0:00 [watchdogd]
root         242  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-ata_sff]
root         243  0.0  0.0      0     0 ?        S    18:43   0:00 [scsi_eh_0]
root         244  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-scsi_tmf_0]
root         245  0.0  0.0      0     0 ?        S    18:43   0:00 [scsi_eh_1]
root         246  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-scsi_tmf_1]
root         247  0.0  0.0      0     0 ?        S    18:43   0:00 [scsi_eh_2]
root         248  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-scsi_tmf_2]
root         249  0.0  0.0      0     0 ?        S    18:43   0:00 [scsi_eh_3]
root         250  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-scsi_tmf_3]
root         251  0.0  0.0      0     0 ?        S    18:43   0:00 [scsi_eh_4]
root         252  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-scsi_tmf_4]
root         253  0.0  0.0      0     0 ?        S    18:43   0:00 [scsi_eh_5]
root         254  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-scsi_tmf_5]
root         284  0.0  0.0      0     0 ?        S    18:43   0:00 [jbd2/vda2-8]
root         285  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-ext4-rsv-conversion]
root         300  0.0  0.0      0     0 ?        S    18:43   0:00 [hwrng]
root         303  0.0  0.0      0     0 ?        I    18:43   0:00 [kworker/3:3-events]
root         318  0.0  0.0      0     0 ?        I    18:43   0:00 [kworker/0:2-events_freezable_pwr_efficient]
root         333  0.0  0.4  51408 18324 ?        Ss   18:43   0:00 /usr/lib/systemd/systemd-journald
systemd+     360  0.0  0.2  92064  8336 ?        Ssl  18:43   0:00 /usr/lib/systemd/systemd-timesyncd
root         387  0.0  0.2  36812 11244 ?        Ss   18:43   0:00 /usr/lib/systemd/systemd-udevd
root         398  0.0  0.0      0     0 ?        S    18:43   0:00 [psimon]
root         503  0.0  0.0      0     0 ?        I<   18:43   0:00 [kworker/R-cryptd]
root         705  0.0  0.1 309392  7624 ?        Ssl  18:43   0:00 /usr/libexec/accounts-daemon
avahi        706  0.0  0.1   6248  4280 ?        Ss   18:43   0:00 avahi-daemon: running [baco.local]
root         707  0.0  0.0   6796  2772 ?        Ss   18:43   0:00 /usr/sbin/cron -f
message+     709  0.0  0.2  11372  8204 ?        Ss   18:43   0:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         716  0.0  0.1 304332  5852 ?        SLsl 18:43   0:00 /usr/libexec/low-memory-monitor
polkitd      719  0.0  0.2 383016 10708 ?        Ssl  18:43   0:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
root         722  0.0  0.1  80896  4092 ?        Ssl  18:43   0:00 /usr/sbin/qemu-ga
root         723  0.0  0.1 307908  7016 ?        Ssl  18:43   0:00 /usr/libexec/switcheroo-control
root         730  0.0  0.2  19124  9608 ?        Ss   18:43   0:00 /usr/lib/systemd/systemd-logind
root         732  0.0  0.3 469968 14652 ?        Ssl  18:43   0:00 /usr/libexec/udisks2/udisksd
avahi        762  0.0  0.0   6060  1580 ?        S    18:43   0:00 avahi-daemon: chroot helper
dhcpcd       780  0.0  0.1  10500  4380 ?        S    18:43   0:00 dhcpcd: enp1s0 [ip4] [ip6]
root         781  0.0  0.0  10508  2628 ?        S    18:43   0:00 dhcpcd: [privileged proxy] enp1s0 [ip4] [ip6]
dhcpcd       782  0.0  0.0  10484  2068 ?        S    18:43   0:00 dhcpcd: [network proxy] enp1s0 [ip4] [ip6]
dhcpcd       783  0.0  0.0  10484  2068 ?        S    18:43   0:00 dhcpcd: [control proxy] enp1s0 [ip4] [ip6]
root         790  0.0  0.4 336820 19704 ?        Ssl  18:43   0:00 /usr/sbin/NetworkManager --no-daemon
