
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.122.58:50115   172.217.17.2:443       TIME_WAIT       0
  TCP    192.168.122.58:50116   142.250.184.166:443    TIME_WAIT       0
  TCP    192.168.122.58:50117   142.250.184.166:443    TIME_WAIT       0
  TCP    192.168.122.58:50121   147.75.180.60:443      ESTABLISHED     6856
  TCP    192.168.122.58:50124   18.172.219.120:443     TIME_WAIT       0
  TCP    192.168.122.58:50126   172.217.17.2:443       TIME_WAIT       0
  TCP    192.168.122.58:50127   172.217.17.2:443       TIME_WAIT       0
  TCP    192.168.122.58:50128   172.217.17.2:443       TIME_WAIT       0
  TCP    192.168.122.58:50129   142.250.184.6:443      TIME_WAIT       0
  TCP    192.168.122.58:50130   142.250.185.3:443      TIME_WAIT       0
  TCP    192.168.122.58:50135   18.172.213.120:443     ESTABLISHED     6856
  TCP    192.168.122.58:50136   18.172.213.74:443      TIME_WAIT       0
  TCP    192.168.122.58:50137   18.172.213.128:443     TIME_WAIT       0
  TCP    192.168.122.58:50138   18.172.213.128:443     ESTABLISHED     6856
  TCP    192.168.122.58:50140   142.250.184.8:443      TIME_WAIT       0
  TCP    192.168.122.58:50141   2.16.88.79:443         ESTABLISHED     6856
  TCP    192.168.122.58:50149   18.172.213.19:443      ESTABLISHED     6856
  TCP    192.168.122.58:50150   104.18.0.22:443        TIME_WAIT       0
  TCP    192.168.122.58:50151   18.172.213.7:443       TIME_WAIT       0
  TCP    192.168.122.58:50152   18.172.213.7:443       TIME_WAIT       0
  TCP    192.168.122.58:50153   18.172.213.7:443       TIME_WAIT       0
  TCP    192.168.122.58:50154   18.172.213.7:443       TIME_WAIT       0
  TCP    192.168.122.58:50155   18.172.213.7:443       ESTABLISHED     6856
  TCP    192.168.122.58:50156   18.172.213.7:443       TIME_WAIT       0
  TCP    192.168.122.58:50157   34.143.74.2:443        TIME_WAIT       0
  TCP    192.168.122.58:50159   172.217.17.4:443       TIME_WAIT       0
  TCP    192.168.122.58:50160   172.217.17.4:443       TIME_WAIT       0
  TCP    192.168.122.58:50161   2.23.237.152:443       ESTABLISHED     6856
  TCP    192.168.122.58:50163   172.217.17.2:443       TIME_WAIT       0
  TCP    192.168.122.58:50165   142.250.185.3:443      TIME_WAIT       0
  TCP    192.168.122.58:50167   142.250.185.3:443      TIME_WAIT       0
  TCP    192.168.122.58:50168   142.250.185.3:443      TIME_WAIT       0
  TCP    192.168.122.58:50169   104.18.87.42:443       ESTABLISHED     6856
  TCP    192.168.122.58:50170   35.210.215.209:443     ESTABLISHED     6856
  TCP    192.168.122.58:50171   104.18.87.42:443       ESTABLISHED     6856
  TCP    192.168.122.58:50172   185.54.150.22:443      TIME_WAIT       0
  TCP    192.168.122.58:50173   18.172.226.113:443     TIME_WAIT       0
  TCP    192.168.122.58:50175   144.2.12.21:443        ESTABLISHED     6856
  TCP    192.168.122.58:50176   216.239.34.36:443      TIME_WAIT       0
  TCP    192.168.122.58:50177   144.2.12.21:443        ESTABLISHED     6856
  TCP    192.168.122.58:50179   35.210.215.209:443     ESTABLISHED     6856
  TCP    192.168.122.58:50181   2.17.112.222:443       ESTABLISHED     6856
  TCP    192.168.122.58:50184   185.54.150.20:443      TIME_WAIT       0
  TCP    192.168.122.58:50185   185.54.150.20:443      TIME_WAIT       0
